ref_area,indicator,source,time,obs_value,note_indicator,note_source
AFG,ILR_TUMT_NOC_RT,FI:6357,2012,9.36,,
AFG,ILR_TUMT_NOC_RT,FI:6357,2019,16.77,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2008,52.41,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2009,49.5,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2011,49.9,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2012,48.2,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2013,48.7,,
ALB,ILR_TUMT_NOC_RT,FX:7131,2017,36.85,,
ARG,ILR_TUMT_NOC_RT,FX:157,2000,43.84,,
ARG,ILR_TUMT_NOC_RT,FX:157,2001,42,,
ARG,ILR_TUMT_NOC_RT,FX:157,2005,37,,
ARG,ILR_TUMT_NOC_RT,FX:157,2008,30.7,,
ARG,ILR_TUMT_NOC_RT,FX:157,2009,31.9,,
ARG,ILR_TUMT_NOC_RT,FX:157,2010,30.1,,
ARG,ILR_TUMT_NOC_RT,FX:157,2011,31.8,,
ARG,ILR_TUMT_NOC_RT,FX:157,2012,30,,
ARG,ILR_TUMT_NOC_RT,FX:157,2013,30.4,,
ARG,ILR_TUMT_NOC_RT,FX:157,2014,27.7,,
ARM,ILR_TUMT_NOC_RT,BA:867,2014,23.78,,
ARM,ILR_TUMT_NOC_RT,BA:867,2015,24.8,,
ARM,ILR_TUMT_NOC_RT,BA:867,2016,23.19,,
ARM,ILR_TUMT_NOC_RT,BA:867,2017,22.68,,
ARM,ILR_TUMT_NOC_RT,BA:867,2018,23.4,,
ARM,ILR_TUMT_NOC_RT,BA:867,2019,20.55,,
ARM,ILR_TUMT_NOC_RT,FI:171,2009,38.35,,
ARM,ILR_TUMT_NOC_RT,FI:171,2010,35.8,,
ARM,ILR_TUMT_NOC_RT,FI:171,2011,36.6,,
ARM,ILR_TUMT_NOC_RT,FI:171,2012,35.2,,
ARM,ILR_TUMT_NOC_RT,FI:171,2013,33.9,,
AUS,ILR_TUMT_NOC_RT,BA:3048,2000,26.48,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2001,26.2,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2002,24.7,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2003,24.71,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2004,24.05,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2005,24.01,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2006,21.8,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2007,19.95,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2008,19.99,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2009,20.92,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2010,19.69,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2011,19.72,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2012,19.57,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2013,18.22,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2014,16.35,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2015,16.63,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2016,14.56,T31:4129,
AUS,ILR_TUMT_NOC_RT,BA:3048,2018,13.66,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2000,37.35,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2001,36.64,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2002,36.56,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2003,35.09,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2004,35.53,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2005,33.77,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2006,31.54,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2007,30.39,T31:4129,
AUT,ILR_TUMT_NOC_RT,XX:8240,2008,29.59,T31:4129,
