Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,..,..,585.019057886336,573.295131838047,564.265697643964,516.946743414225,478.760608051973,486.002481092258,452.492071838524,463.963848988363,475.745935332821,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,471.924594300027,1037.54353717206,3502.96390050893,3761.53849342266,3845.4828901971,3267.25802694689,3443.20314203152,3713.29725831986,4319.04258199203,4337.48126877283,4207.41202227462,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,1864.98849794354,1280.19120270903,4111.39565725876,4082.3138145683,4123.4530499782,3304.97215818961,3274.85627006004,3341.45349216198,3241.89292920419,3151.92506436361,2734.25651471962,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,552.817957890464,208.228159510089,2844.52020626953,3174.61098426932,3608.5227204609,3226.8962049721,2717.86595896983,2975.50683643825,2082.77973489398,1766.83336109427,1122.73167126855,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,3694.20584200792,6446.83667800391,10830.6871033426,10849.9562885851,10232.1330224165,11708.2536882274,10798.2570828491,12494.0937991538,9812.44828855484,8271.26509544822,7188.7014064886,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,..,541.764928751233,3326.00731076724,3554.67451778079,3646.47337610901,3235.96276814106,3167.75692770151,3514.68305539039,3709.67506973003,4026.73944324833,3519.80302601819,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,10989.1877976574,18246.6489115841,21069.5656413006,22110.2117966365,23126.7345050879,24171.2111482763,24116.7214990702,24582.150890747,25017.4782230788,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,14145.8297929693,17062.6011590873,53401.4502408674,53830.5541274004,48646.0757738879,44255.97166946,39055.9973629761,41988.695163699,43950.4347970883,42458.8357251088,39193.1473720333,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Austria,AUT,18364.516108025,20320.621461522,40000.0427046719,41651.8127795828,42462.5419301513,35787.4316807747,37210.9824935548,38317.4164308628,41592.5712975514,40687.3034892206,38847.7383977147,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Azerbaijan,AZE,..,391.620903014189,5190.52508104749,5592.13261488694,6039.80313115392,4460.40822891429,3018.09463023063,3197.67551011855,3373.31715187402,3612.22842571384,3483.5607340881,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Bahamas, The",BHS,10959.0324204709,24838.5310942978,26734.0702621974,25735.2340383809,26579.4266441821,27525.3874933191,27545.2936180121,28552.7925416962,28783.6944260765,30039.5906399717,22405.7083570673,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bahrain,BHR,4881.76687294703,9334.79785137148,16308.4199141192,16722.0646845051,17072.4204440925,17283.1928785373,17997.0023699092,18506.408973567,17987.3075746763,17700.8513469708,15426.8113868086,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bangladesh,BGD,287.287368213826,398.017005799455,878.774582684222,972.104126845174,1089.19782715712,1219.15094526725,1359.05729810256,1490.43036308243,1629.10741650811,1916.02166583818,2032.31072885858,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Barbados,BRB,6852.33374084535,9863.3204547882,13873.9081699554,14041.8017967316,14071.7984727464,14075.0787692717,14359.7925807738,14802.8326968965,15095.5902874686,15643.454660112,13004.095750789,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belarus,BLR,..,1091.22500779089,5794.53268798146,6562.38645943631,6920.66425253069,4890.56424448974,4111.14604241735,4752.09348483226,5205.11909106945,5629.65630327233,5148.21397806727,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belgium,BEL,17597.4044931973,19773.1983904402,36994.914527252,38720.6954634776,39494.8477824673,33820.5935039625,34479.3442517629,36236.8593034048,39065.186880188,38280.1606408924,36494.3871147527,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belize,BLZ,1999.42416584024,2651.73264324128,3224.84253005169,3352.54999175602,3483.64019175586,3740.37891423727,3770.36854063122,3797.485197259,3769.53619563997,3832.4482324882,3219.14587006219,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Benin,BEN,320.579195816241,409.266254060256,992.881879741242,1102.49351447945,1144.18044260244,958.778028892313,968.536632207734,1003.11475632812,1095.33841211629,1073.62408971803,1133.36431525741,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
