"","iso2c","union_bad.x","union_bad.y","na_per"
"1","AT",64,590,10.8474576271186
"2","AU",75,645,11.6279069767442
"3","BE",120,1122,10.6951871657754
"4","CH",56,752,7.4468085106383
"5","CL",49,649,7.55007704160247
"6","CN",125,663,18.8536953242836
"7","CZ",78,742,10.5121293800539
"8","DE",117,972,12.037037037037
"9","DK",58,667,8.69565217391304
"10","EE",71,629,11.2877583465819
"11","ES",74,803,9.21544209215442
"12","FI",62,602,10.2990033222591
"13","FR",90,615,14.6341463414634
"14","GB-GBN",86,856,10.0467289719626
"15","GE",151,316,47.7848101265823
"16","HR",16,515,3.10679611650485
"17","HU",60,505,11.8811881188119
"18","IL",62,738,8.40108401084011
"19","IN",61,619,9.8546042003231
"20","IS",47,827,5.68319226118501
"21","JP",171,808,21.1633663366337
"22","LT",84,499,16.8336673346693
"23","LV",70,531,13.1826741996234
"24","MX",13,627,2.07336523125997
"25","NO",203,946,21.4587737843552
"26","NZ",61,510,11.9607843137255
"27","PH",7,671,1.04321907600596
"28","PL",118,860,13.7209302325581
"29","RU",116,781,14.8527528809219
"30","SE",96,584,16.4383561643836
"31","SI",31,457,6.78336980306346
"32","SK",60,541,11.090573012939
"33","SR",114,510,22.3529411764706
"34","TW",142,1156,12.2837370242215
"35","US",24,912,2.63157894736842
"36","VE",27,403,6.69975186104218
"37","ZA",30,837,3.584229390681
